num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,id
5636675,255.63152,0,0,22050,1,0.0,251.70432,-5.456,121.985,0.083,4,1.0,1,0.102,1,0.401,3.15,4.12,1.0,1.0,0.0159,0.503,0.727,9.45e-05,0.0895,0.167,0.521,1BltsyC5W3SAABdxyrDXwi
4664016,211.52,0,0,22050,1,0.10503,206.56471,-3.677,172.977,0.501,4,1.0,1,0.248,1,0.405,3.15,4.12,1.0,1.0,0.00272,0.517,0.906,9.26e-06,0.113,0.0735,0.731,6SpLc7EXZIPpy0sVko0aoU
4758098,215.78676,0,0,22050,1,3.20435,208.33524,-3.701,118.075,0.954,4,1.0,2,0.656,0,0.74,3.15,4.12,1.0,1.0,0.705,0.831,0.794,3.4e-05,0.0978,0.0752,0.735,4XHjt7mlKGwiwPPD1owV7w
7611072,345.17334,0,0,22050,1,2.73995,334.49506,-8.242,125.999,0.956,4,0.904,3,0.276,0,0.349,3.15,4.12,1.0,1.0,0.00864,0.822,0.704,0.627,0.0633,0.0374,0.255,13qqdlSeF8FcxsRyapDMZ0
5697426,258.38666,0,0,22050,1,0.27723,253.60254,-7.036,121.01,0.613,4,1.0,4,0.277,0,0.375,3.15,4.12,1.0,1.0,0.00114,0.736,0.677,0.844,0.0949,0.0352,0.0747,4J8WVHRtXM6SMgsF7qohXy
4153582,188.37106,0,0,22050,1,2.76317,181.59746,-5.595,112.028,0.972,4,1.0,2,0.491,1,0.535,3.15,4.12,1.0,1.0,0.00106,0.645,0.832,0.00264,0.199,0.0294,0.375,6GpcFTcLIc0eeR7Q7dVMXZ
3762281,170.62498,0,0,22050,1,0.26703,166.66122,-3.927,127.966,0.912,4,0.93,5,0.527,0,0.618,3.15,4.12,1.0,1.0,0.00125,0.614,0.972,0.0186,0.328,0.088,0.411,6PtXobrqImYfnpIxNsJApa
4589340,208.13333,0,0,22050,1,0.15102,198.9834,-9.334,119.993,0.829,4,1.0,5,0.343,0,0.441,3.15,4.12,1.0,1.0,0.00821,0.829,0.51,0.0014,0.0829,0.0369,0.45,5Sf3GyLEAzJXxZ5mbCPXTu
4549356,206.32,0,0,22050,1,0.11619,196.56853,-2.184,127.951,0.756,4,1.0,7,0.45,1,0.671,3.15,4.12,1.0,1.0,0.0615,0.571,0.903,1.23e-06,0.186,0.214,0.477,3qZkpG7RW81clweFyefCe2
4732732,214.63637,0,0,22050,1,0.0,211.4293,-6.832,137.932,0.739,4,0.091,4,0.0,0,0.025,3.15,4.12,1.0,1.0,0.000768,0.66,0.763,0.0389,0.0637,0.0636,0.652,6vWXNnAAWV8ivmIUGgQL0K
4882335,221.4211,0,0,22050,1,0.07551,216.41579,-9.6,123.999,0.631,4,0.853,6,0.603,0,0.609,3.15,4.12,1.0,1.0,0.141,0.722,0.635,0.000873,0.3,0.0419,0.53,15uFqHGAOvaGCqikvgiW6w
6247805,283.34717,0,0,22050,1,0.0,281.23428,-10.405,124.028,0.7,4,0.802,6,0.596,0,0.615,3.15,4.12,1.0,1.0,0.0471,0.746,0.552,0.00422,0.0856,0.0519,0.274,4FRBAscoGnKAMa9Ttf9LCp
4568466,207.18668,0,0,22050,1,0.0,201.62466,-6.109,111.0,0.73,4,0.926,2,0.34,0,0.38,3.15,4.12,1.0,1.0,0.0672,0.72,0.595,4.73e-05,0.0775,0.0976,0.486,1SayqEg8HKK2IeIEWjdYxY
4746055,215.24059,0,0,22050,1,0.17991,204.4517,-6.455,103.0,0.403,4,0.957,1,0.481,1,0.56,3.15,4.12,1.0,1.0,0.227,0.497,0.706,0.0,0.224,0.0667,0.55,2yJVeT8cP1zstJxRP7Nlv8
5183989,235.10155,0,0,22050,1,0.0,227.15501,-5.14,97.036,0.173,4,1.0,7,0.041,1,0.527,3.15,4.12,1.0,1.0,0.252,0.756,0.522,1.13e-06,0.15,0.151,0.761,5OV4U8bYY2WN9hBuzzqwPB
4813662,218.30667,0,0,22050,1,3.18113,209.4556,-4.633,117.134,0.235,4,1.0,6,0.622,1,0.493,3.15,4.12,1.0,1.0,0.486,0.604,0.911,0.0,0.976,0.0952,0.442,760QEV2aGbtjfPuhOp1NpF
5461638,247.69333,0,0,22050,1,0.18617,235.57805,-4.335,127.989,0.803,4,1.0,7,0.036,1,0.319,3.15,4.12,1.0,1.0,0.0265,0.585,0.814,1.26e-05,0.133,0.054,0.597,1NtVWYw9QDr30Ei0phACni
8996400,408.0,0,0,22050,1,2.11302,401.13632,-4.099,150.037,0.165,4,0.689,7,0.806,1,0.776,3.15,4.12,1.0,1.0,0.0548,0.487,0.86,0.0155,0.649,0.0524,0.432,1Tjzj0PtWBLaCEYBh7CS63
6351576,288.05334,0,0,22050,1,0.0,285.51837,-5.655,129.159,0.755,4,0.997,7,0.442,0,0.452,3.15,4.12,1.0,1.0,0.00218,0.545,0.815,0.000139,0.162,0.116,0.355,6ROeHiuhpeoETtmXlEsnV6
4862025,220.5,0,0,22050,1,0.11052,208.66032,-4.239,127.984,0.75,4,1.0,8,0.322,0,0.46,3.15,4.12,1.0,1.0,0.00161,0.452,0.896,0.000157,0.14,0.0654,0.35,0JUa73C2r5beBMhy9NXX1E
4108356,186.32,0,0,22050,1,0.34821,186.32,-6.06,130.04,0.785,4,0.821,0,0.151,1,0.359,3.15,4.12,1.0,1.0,0.00081,0.617,0.776,0.0,0.458,0.0448,0.407,0gt6DsV3Tx10wdxCoBCtLy
5042105,228.66689,0,0,22050,1,0.0,219.17316,-5.727,127.992,0.829,4,1.0,0,0.935,0,0.902,3.15,4.12,1.0,1.0,0.00137,0.576,0.738,0.000233,0.129,0.0562,0.335,6uzUmf27nYfFrFp3uzinsd
8825215,400.2365,0,0,22050,1,0.0,379.9133,-12.612,111.002,0.694,4,1.0,11,0.641,0,0.639,3.15,4.12,1.0,1.0,0.00244,0.932,0.351,0.000666,0.79,0.399,0.505,7fI68tGykUE5DosLnVASDA
5934096,269.12,0,0,22050,1,0.09982,263.71484,-6.894,122.936,0.923,4,1.0,4,0.251,1,0.41,3.15,4.12,1.0,1.0,0.215,0.816,0.592,0.00297,0.581,0.146,0.372,3oglzwYLNUHuPVzmYj6d46
6617646,300.12,0,0,22050,1,0.15093,293.12872,-6.855,124.956,0.781,4,1.0,9,0.569,0,0.436,3.15,4.12,1.0,1.0,0.00128,0.698,0.67,0.026,0.0596,0.0819,0.744,5iKOpf0SZDSGkJRhkwgSrl
6272000,284.44443,0,0,22050,1,0.0,276.92117,-6.307,135.102,0.237,4,0.996,1,0.051,0,0.371,3.15,4.12,1.0,1.0,0.108,0.45,0.756,0.0205,0.0762,0.0389,0.268,4e9nD7iAmnQPfjqs1LDJh0
5113599,231.90926,0,0,22050,1,0.06413,219.96844,-8.756,106.576,0.295,4,1.0,5,0.664,1,0.549,3.15,4.12,1.0,1.0,0.342,0.433,0.477,1.82e-06,0.101,0.0342,0.164,3GNVv35ps7X4njyQJqE56s
5479790,248.51656,0,0,22050,1,0.0,246.20699,-3.195,101.996,0.499,4,1.0,2,0.68,1,0.715,3.15,4.12,1.0,1.0,0.00474,0.63,0.942,0.000744,0.326,0.0485,0.543,42UaTVeWaNaME7ttu61ykG
8287314,375.8419,0,0,22050,1,0.0,371.22903,-4.058,175.023,0.404,4,0.942,8,0.275,0,0.374,3.15,4.12,1.0,1.0,0.00216,0.496,0.833,1.62e-06,0.0582,0.0835,0.325,0ryawd1Tj2c0y4ddq6X0Nu
5506762,249.73978,0,0,22050,1,4.06349,242.64272,-6.173,108.026,0.457,4,0.993,5,0.144,0,0.546,3.15,4.12,1.0,1.0,0.000747,0.602,0.709,0.0781,0.256,0.0274,0.437,5oxOwuDN1HjQ1Ae1q7HJfd
4731342,214.57333,0,0,22050,1,0.0,201.85687,-4.955,113.679,0.859,4,1.0,1,0.523,1,0.594,3.15,4.12,1.0,1.0,0.0269,0.708,0.905,0.0,0.144,0.0341,0.713,3nSLu4fkMDyah7xrmKr4c4
5481000,248.57143,0,0,22050,1,0.0,239.49062,-5.544,140.004,0.589,4,0.534,9,0.3,1,0.463,3.15,4.12,1.0,1.0,0.152,0.656,0.741,0.00025,0.0931,0.0393,0.564,44BGZmhSjITmdoYs5LsCx2
